"Date(UTC)","UnixTimeStamp","Value"
"7/10/2022","1657411200","3147593"
"7/11/2022","1657497600","4161708"
"7/12/2022","1657584000","3739987"
"7/13/2022","1657670400","4043050"
"7/14/2022","1657756800","3763817"
"7/15/2022","1657843200","3952119"
"7/16/2022","1657929600","4716228"
"7/17/2022","1658016000","3699313"
"7/18/2022","1658102400","4158091"
"7/19/2022","1658188800","3962055"
"7/20/2022","1658275200","3657736"
"7/21/2022","1658361600","3504953"
"7/22/2022","1658448000","3530058"
"7/23/2022","1658534400","3053179"
"7/24/2022","1658620800","2946027"
"7/25/2022","1658707200","3603570"
"7/26/2022","1658793600","3361203"
"7/27/2022","1658880000","3592022"
"7/28/2022","1658966400","3712001"
"7/29/2022","1659052800","3747142"
"7/30/2022","1659139200","3699787"
"7/31/2022","1659225600","3625637"
"8/1/2022","1659312000","3724420"
"8/2/2022","1659398400","3275960"
"8/3/2022","1659484800","3306738"
"8/4/2022","1659571200","3536184"
"8/5/2022","1659657600","3562687"
"8/6/2022","1659744000","3370958"
"8/7/2022","1659830400","3125159"
"8/8/2022","1659916800","3663004"
"8/9/2022","1660003200","3604870"
"8/10/2022","1660089600","3544566"
"8/11/2022","1660176000","3636719"
"8/12/2022","1660262400","3176499"
"8/13/2022","1660348800","3334290"
"8/14/2022","1660435200","3010707"
"8/15/2022","1660521600","3405182"
"8/16/2022","1660608000","3223673"
"8/17/2022","1660694400","3129544"
"8/18/2022","1660780800","3190050"
"8/19/2022","1660867200","3432116"
"8/20/2022","1660953600","2790139"
"8/21/2022","1661040000","2595440"
"8/22/2022","1661126400","2940614"
"8/23/2022","1661212800","2883122"
"8/24/2022","1661299200","2801702"
"8/25/2022","1661385600","2983331"
"8/26/2022","1661472000","3263932"
"8/27/2022","1661558400","2706199"
"8/28/2022","1661644800","2865886"
"8/29/2022","1661731200","3292112"
"8/30/2022","1661817600","3316647"
"8/31/2022","1661904000","3398284"
"9/1/2022","1661990400","3547371"
"9/2/2022","1662076800","3271114"
"9/3/2022","1662163200","3031280"
"9/4/2022","1662249600","2897205"
"9/5/2022","1662336000","3258159"
"9/6/2022","1662422400","3791005"
"9/7/2022","1662508800","3698596"
"9/8/2022","1662595200","3787015"
"9/9/2022","1662681600","4221997"
"9/10/2022","1662768000","2947918"
"9/11/2022","1662854400","2834211"
"9/12/2022","1662940800","3255778"
"9/13/2022","1663027200","3170270"
"9/14/2022","1663113600","3172780"
"9/15/2022","1663200000","3571561"
"9/16/2022","1663286400","3782693"
"9/17/2022","1663372800","3002261"
"9/18/2022","1663459200","3054658"
"9/19/2022","1663545600","3279108"
"9/20/2022","1663632000","3143998"
"9/21/2022","1663718400","3226391"
"9/22/2022","1663804800","3210281"
"9/23/2022","1663891200","2940439"
"9/24/2022","1663977600","2712774"
"9/25/2022","1664064000","2689221"
"9/26/2022","1664150400","3055298"
"9/27/2022","1664236800","3250812"
"9/28/2022","1664323200","3588318"
"9/29/2022","1664409600","3067693"
"9/30/2022","1664496000","3108102"
"10/1/2022","1664582400","2810469"
"10/2/2022","1664668800","2809955"
"10/3/2022","1664755200","2920036"
"10/4/2022","1664841600","2915569"
"10/5/2022","1664928000","3056194"
